,FMID,start,end,zip
170,1012815,2017-05-06,2017-10-07,49858
171,1006501,2015-10-03,2015-11-21,35758
172,1011624,2016-01-01,2016-12-31,20878
173,1001102,2016-11-01,2017-03-31,37408
174,1008221,2015-12-05,2016-12-03,23103
175,1012135,2016-06-07,2016-10-25,54220
176,1012781,2016-09-03,2016-12-31,32446
177,1000188,2013-11-09,2015-05-02,56377
178,1008339,2013-11-01,2014-04-25,97477
179,1012575,2016-12-03,2017-04-08,28105
180,1011837,2016-06-16,2016-10-14,85201
181,1010631,2015-11-21,2015-12-19,42129
182,1000204,2016-01-09,2016-04-02,27609
183,1012523,2016-10-01,2016-10-29,55401
184,1009077,2014-11-02,2015-04-30,39202
185,1009748,2014-05-01,2014-10-01,39202
186,1003461,2013-11-01,2014-04-30,28777
187,1012314,2016-11-19,2017-04-15,53566
