,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
2791,1001487,61101,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
2800,1000396,75080,,,,,,,,,,,10:00:00-06:00,15:00:00-06:00,,
2811,1001597,50441,,,17:00:00-06:00,19:00:00-06:00,,,,,,,,,,
2819,1011098,37064,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
2832,1006031,22401,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00,,
2838,1012429,30307,,,,,,,,,,,09:00:00-05:00,12:30:00-05:00,,
2883,1010765,22630,,,,,,,,,,,06:00:00-05:00,15:00:00-05:00,,
2896,1011620,20877,,,,,,,12:30:00-05:00,18:00:00-05:00,,,,,,
2906,1006661,49503,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
2941,1002720,12561,,,,,,,,,,,11:30:00-05:00,14:00:00-05:00,,
2954,1009921,44108,,,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,
2999,1011962,85234,,,,,,,,,,,08:00:00-07:00,12:00:00-07:00,,
3035,1006294,60626,,,,,,,,,,,,,09:00:00-06:00,14:00:00-06:00
3057,1004321,29551,,,,,,,,,,,11:00:00-05:00,15:00:00-05:00,,
3113,1010149,46530,,,14:00:00-05:00,18:00:00-05:00,,,14:00:00-05:00,18:00:00-05:00,,,08:00:00-05:00,14:00:00-05:00,,
3140,1002208,60030,,,,,,,,,,,10:00:00-06:00,14:00:00-06:00,,
3142,1008950,30017,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
3146,1005797,22066,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
3148,1012497,59401,,,,,16:30:00-07:00,18:30:00-07:00,,,,,,,,
3161,1001119,65804,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
3202,1003059,37745,,,,,,,,,,,,,,
3207,1010623,53220,,,,,,,,,,,,,10:00:00-06:00,14:00:00-06:00
3233,1003302,12834,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
3266,1010541,37387,,,,,,,15:00:00-06:00,16:00:00-06:00,,,10:00:00-06:00,11:00:00-06:00,,
3277,1002652,33707,,,09:00:00-05:00,15:00:00-05:00,,,,,,,,,,
