FMID,start,end,zip
1008443,2013-04-11,2013-09-19,97470
1012671,2016-06-12,2016-09-11,98941
1012006,2016-05-18,2016-10-26,15229
1009975,2016-05-01,2016-10-29,30075
1008172,2014-01-01,2014-12-31,78665
1010279,2014-06-06,2014-09-27,20722
1011611,2015-05-21,2015-10-29,19720
1005261,2015-01-01,2015-12-31,96797
1006286,2014-01-01,2015-01-01,48067
1000827,2014-06-01,2014-10-25,48220
1008444,2015-06-04,2015-09-24,22546
1011264,2015-07-18,2015-10-17,88346
1003915,2015-06-13,2015-10-31,54848
1010601,2014-01-01,2014-12-31,72801
1008696,2013-06-04,2013-09-24,65074
1010891,2016-05-07,2016-08-20,71270
1004683,2014-04-26,2014-10-28,28043
1004206,2014-05-09,2014-10-31,37129
1008702,2013-06-01,2013-09-28,63563
1007691,2014-05-11,2014-12-07,10580
1010960,2015-05-24,2015-12-06,10580
1009840,2014-03-13,2014-12-11,78210
1007397,2015-04-11,2015-08-29,75225
1002062,2014-05-20,2014-10-28,14779
1005214,2014-04-05,2014-12-20,24153
1011396,2015-05-02,2015-10-03,65560
1009795,2016-04-01,2016-10-29,97309
1011316,2016-12-10,2016-12-11,97309
1009796,2016-05-02,2016-09-26,97309
1009794,2016-05-04,2016-09-28,97309
1009680,2016-05-25,2016-10-26,93901
1004990,2016-10-22,2017-04-29,48176
1004988,2016-05-07,2016-10-29,48176
1004989,2016-06-07,2016-09-27,48176
1008197,2013-06-12,2013-09-25,98020
1002486,2013-07-11,2013-09-26,98685
1002485,2013-07-09,2013-09-24,98686
1005040,2015-06-13,2015-10-24,84101
1005262,2014-01-01,2014-12-31,96818
1003295,2013-05-15,2013-09-25,98075
1004519,2013-01-04,2013-12-27,78230
1004522,2014-01-01,2014-12-31,78216
1000884,2016-01-01,2016-12-31,92101
1008699,2014-04-02,2014-09-03,91773
1009080,2015-01-01,2015-12-31,94110
1002738,2016-01-01,2016-12-31,94104
1011430,2015-01-01,2015-12-31,94115
1009626,2014-04-03,2014-09-25,91776
1008601,2013-01-05,2013-12-21,98250
1002736,2016-01-01,2016-12-31,95678
1010902,2015-01-01,2015-12-31,93401
1009025,2016-01-01,2016-12-31,92078
