FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1007258,99645,,,,,,,,,,,09:00:00-09:00,14:00:00-09:00,,
1002640,99501,,,,,,,,,,,10:00:00-09:00,18:00:00-09:00,10:00:00-09:00,18:00:00-09:00
1010883,46016,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1008251,29621,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
1008727,40342,,,,,,,,,11:00:00-05:00,18:00:00-05:00,09:00:00-05:00,17:00:00-05:00,12:00:00-05:00,16:00:00-05:00
1004991,45230,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1003516,60640,,,,,15:00:00-06:00,20:00:00-06:00,,,,,,,,
1006378,14709,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1010280,75901,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,16:00:00-06:00,11:00:00-06:00,15:00:00-06:00
1006268,95222,,,,,,,,,17:00:00-08:00,20:00:00-08:00,,,,
1010223,48104,,,,,07:00:00-05:00,15:00:00-05:00,,,,,07:00:00-05:00,15:00:00-05:00,,
1010380,11003,,,10:00:00-05:00,14:00:00-05:00,,,,,,,,,,
1012588,22003,,,,,,,08:00:00-05:00,12:00:00-05:00,,,,,,
1006800,21401,,,,,,,,,,,,,08:30:00-05:00,12:00:00-05:00
1001142,21401,,,,,,,,,,,07:00:00-05:00,12:00:00-05:00,,
1001465,55303,,,,,,,14:00:00-06:00,17:00:00-06:00,,,,,,
1000306,19425,,,,,14:00:00-05:00,18:00:00-05:00,,,,,,,,
1000405,28170,,,,,07:00:00-05:00,13:00:00-05:00,,,,,07:00:00-05:00,13:00:00-05:00,,
1011248,93534,,,,,,,,,,,09:00:00-08:00,12:00:00-08:00,,
1012651,85086,,,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00
1000434,67003,,,,,,,,,,,07:30:00-06:00,09:30:00-06:00,,
1004557,54409,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1011109,27502,,,,,,,,,,,08:30:00-05:00,12:30:00-05:00,,
1011158,37821,,,,,10:00:00-05:00,14:00:00-05:00,,,,,,,,
1000683,79401,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,09:00:00-06:00,17:30:00-06:00,,
1000685,79329,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,18:00:00-06:00,09:00:00-06:00,16:00:00-06:00
1012562,56208,,,,,08:00:00-06:00,12:00:00-06:00,,,,,,,,
1000431,54911,,,,,,,,,,,08:00:00-06:00,12:30:00-06:00,,
1009687,95003,,,,,,,,,,,08:00:00-08:00,12:00:00-08:00,,
1001764,14009,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1000558,63650,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
1012474,20020,,,,,,,,,14:00:00-05:00,17:00:00-05:00,,,,
1012410,20010,,,,,12:00:00-05:00,14:00:00-05:00,,,,,,,,
1012375,20032,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,,,
1012453,20002,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,
1012422,20032,,,,,,,10:00:00-05:00,12:00:00-05:00,,,,,,
1012455,20019,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,,,
1012477,20017,,,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,
1012413,20032,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
1012419,20001,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
1012454,20019,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,
1012374,20032,,,16:00:00-05:00,18:00:00-05:00,,,,,,,,,,
1012427,20032,,,,,,,10:00:00-05:00,12:00:00-05:00,,,,,,
1012377,20001,,,,,10:00:00-05:00,12:00:00-05:00,,,,,,,,
1002085,95521,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
1001628,20198,,,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00
1002798,48658,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1010882,48103,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,07:00:00-05:00,19:00:00-05:00,08:00:00-05:00,18:00:00-05:00,08:00:00-05:00,18:00:00-05:00
1001018,72201,17:00:00-06:00,18:00:00-06:00,,,,,,,,,10:00:00-06:00,12:00:00-06:00,,
1012129,22201,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
1008236,12603,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
1002611,98223,,,,,,,,,,,10:00:00-08:00,15:00:00-08:00,,
1010945,22204,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,,,
1011122,87105,,,,,,,,,,,08:00:00-07:00,12:00:00-07:00,,
1001991,63010,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1008855,48065,,,,,,,,,,,,,10:00:00-05:00,15:00:00-05:00
1010575,19382,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
